50,Ain't Misbehavin',1978,Broadway revue,Various Artists,Various Artists,"Murray Horwitz and Richard Maltby, Jr.",,https://en.wikipedia.org/wiki/Ain%27t_Misbehavin%27_(musical)
51,Ain't Supposed to Die a Natural Death,1971,Broadway,Melvin Van Peebles,Van Peebles,Van Peebles,,https://en.wikipedia.org/wiki/Ain%27t_Supposed_to_Die_a_Natural_Death
52,Aladdin,1958,Television musical,Cole Porter,Porter,S. J. Perelman,,https://en.wikipedia.org/wiki/Aladdin_(TV_special)
53,"Aladdin

+ film (1992)

",2014,Broadway,Alan Menken,"Howard Ashman, Chad Beguelin and Tim Rice",Beguelin,"Based on the film of the same name. Notable Songs: ""A Whole New World"" and ""Friend Like Me"".",https://en.wikipedia.org/wiki/Aladdin_(2011_musical)
54,Ali Baba fr:Les 1001 Vies d'Ali Baba,2000,French musical,Fabrice Aboulker and Alain Lanty,Thibaut Chatel and Frédéric Doll,,,
55,Alice in Wonderland,1951,Animated film,Bob Hilliard and Sammy Fain,Hilliard and Fain,Winston Hibler and Ted Sears,,https://en.wikipedia.org/wiki/Alice_in_Wonderland_(1951_film)
56,Alice in Wonderland: An X-Rated Musical Comedy,1976,"Adult film
(Off-Broadway; 2007)",Jack Stern,Jack Stern,Bill Osco,Based on Lewis Carroll's book Alice's Adventures in Wonderland.,https://en.wikipedia.org/wiki/Alice_in_Wonderland_(1976_film)
57,Alice's Adventures in Wonderland,1972,Musical film,John Barry,Barry,William Sterling,,https://en.wikipedia.org/wiki/Alice%27s_Adventures_in_Wonderland_(1972_film)
58,Alice with Kisses,1964,Off-Broadway,,,,,
59,Alive and Kicking,1950,Broadway revue,Hoagy Carmichael et al.,Paul Francis Webster et al.,I. A. L. Diamond,,https://en.wikipedia.org/wiki/Alive_and_Kicking_(musical)
60,All 4 One,2001,Off-West End,John Trent Wallace,Kevin John Heuston,Heuston,,
61,All Aboard,1913,Broadway,E. Ray Goetz and Malvin M. Franklin,Goetz,Mark Swan,,
62,All American,1962,Broadway,Charles Strouse,Lee Adams,Mel Brooks,,https://en.wikipedia.org/wiki/All_American_(musical)
63,All Hands on Deck,1961,Musical film,Cyril Mockridge,Donald R. Morris,Jay Sommers,,https://en.wikipedia.org/wiki/All_Hands_on_Deck_(film)
64,All in Fun,1940,Broadway revue,Baldwin Bergerson and John Rox,,,,
65,All in Love,1961,Off-Broadway,Jacques Urbont,Bruce Geller,Geller,,
66,All Shook Up,2005,Broadway Jukebox musical,Elvis Presley,Various artists,Joe DiPietro,,https://en.wikipedia.org/wiki/All_Shook_Up_(musical)
67,All That Jazz,1979,Musical film,Ralph Burns,Various artists,Robert Alan Aurthur and Bob Fosse,,https://en.wikipedia.org/wiki/All_That_Jazz_(film)
68,All the Fun of the Fair,2008,West End,Ian Wherry,,Jon Conway,David Essex Jukebox musical,https://en.wikipedia.org/wiki/All_the_Fun_of_the_Fair
69,All the King's Horses,1935,Musical film,Edward Horan,Horan,"Edmund H. North, Frank Tuttle and Frederick Stephani","All the King's Horses by Lawrence Clark, Max Giersberg, Frederik Herendeen and Edward Horan",https://en.wikipedia.org/wiki/All_the_King%27s_Horses_(1935_film)
70,Allegiance,2012,Broadway,Jay Kuo,Jay Kuo,"Marc Acito, Jay Kuo, Lorenzo Thione","Regional Premiere 2012, Broadway 2015",
71,Allegro,1947,Broadway,Richard Rodgers,Oscar Hammerstein II,Hammerstein II,,https://en.wikipedia.org/wiki/Allegro_(musical)
72,An Alligator Named Daisy,1955,Musical film,"Stanley Black and Sam Coslow, et al.",,Jack Davies,,https://en.wikipedia.org/wiki/An_Alligator_Named_Daisy
73,"Alma, Where Do You Live?",1910,Broadway,Jean Briquet,George V. Hobart,Hobart,,
74,Alone at Last,1914,Broadway,Franz Lehár et al.,Matthew Woodward et al.,,,
75,Along Fifth Avenue,1949,Broadway revue,Gordon Jenkins et al.,Tom Adair et al.,,,
76,Altar Boyz,2005,Off-Broadway,Gary Adler and Michael Patrick Walker,Adler and Walker,Kevin Del Aguila,,https://en.wikipedia.org/wiki/Altar_Boyz
77,Amazing Grace,2012,Broadway,Christopher Smith,Christopher Smith,"Christopher Smith, Arthur Giron",Regional Premiere 2012. Broadway 2015,
78,Ambassador,1972,Broadway,Don Gohman,Hal Hackady,Don Ettlinger and Anna Marie Barlow,,https://en.wikipedia.org/wiki/Ambassador_(musical)
79,Amen Corner,1983,Broadway,Garry Sherman,Peter Udell,Philip Rose and Peter Udell,,https://en.wikipedia.org/wiki/Amen_Corner_(musical)
80,Amélie,2017,Broadway,Daniel Messé,Daniel Messé and Nathan Tyson,Craig Lucas,Based on the 2001 romantic comedy of the same name,https://en.wikipedia.org/wiki/Am%C3%A9lie
81,America Kicks Up Its Heels,1983,Off-Broadway,William Finn,Finn,Charles Rubin,,
82,The American Astronaut,2001,Musical film,Billy Nayer Show,Nayer Show,Cory McAbee,,https://en.wikipedia.org/wiki/The_American_Astronaut
83,American Idiot,2010,Broadway,Green Day,Billie Joe Armstrong,Armstrong and Michael Mayer,,https://en.wikipedia.org/wiki/American_Idiot_(musical)
84,American Pop,1981,Animated film,Lee Holdridge,Various artists,Ronni Kern,Paralleling the history of American popular music.,https://en.wikipedia.org/wiki/American_Pop
85,An American in Paris,1951,Musical film,George Gershwin,Ira Gershwin,Alan Jay Lerner,,https://en.wikipedia.org/wiki/An_American_in_Paris_(film)
86,An American in Paris,2015,Broadway,George Gershwin,Ira Gershwin,Craig Lucas,Based on 1951 musical film of the same name,https://en.wikipedia.org/wiki/An_American_in_Paris_(film)
87,America's Sweetheart,1931,Broadway,Richard Rodgers,Lorenz Hart,Herbert Fields,,https://en.wikipedia.org/wiki/America%27s_Sweetheart_(musical)
88,The Amorous Flea,1964,Off-Broadway,Bruce Montgomery,Montgomery,Jerry Devine,,https://en.wikipedia.org/wiki/The_Amorous_Flea
89,Amour,2002,Broadway,Michel Legrand,Didier Van Cauwelaert,Jeremy Sams,,https://en.wikipedia.org/wiki/Amour_(musical)
90,Amphitryon,1935,Musical film,Franz Doelle,C. Amberg and Bruno Balz,Reinhold Schünzel,"Based on the stage play Amphytrion by Molière, Titus Maccius Plautus and Heinrich von Kleist",https://en.wikipedia.org/wiki/Amphitryon_(film)
91,An Arabian Girl and 40 Thieves,1899,Broadway,"W. H. Batchelor, John J. Braham, Jessie Williams and Meyer Lutz",J. Cheever Goodwin,,,
92,Anastasia,1997,Animated film,Stephen Flaherty,Lynn Ahrens,"Susan Gauthier, Bruce Graham, Bob Tzudiker, Noni White and Eric Tuchman",,https://en.wikipedia.org/wiki/Anastasia_(1997_film)
93,Anastasia,2017,Broadway,Stephen Flaherty,Lynn Ahrens,Terrence McNally,Based on 1997 animated musical film of the same name,https://en.wikipedia.org/wiki/Anastasia_(1997_film)
94,Anchors Aweigh,1945,Musical film,Georgie Stoll,Various artists,Natalie Marcin,,https://en.wikipedia.org/wiki/Anchors_Aweigh_(film)
95,And the Angels Sing,1944,Musical film,Victor Young,Various Artists,"Claude Binyon, Melvin Frank and Norman Panama",,https://en.wikipedia.org/wiki/And_the_Angels_Sing
96,And the World Goes 'Round,1991,Off-Broadway revue,John Kander,Fred Ebb,N/A,,https://en.wikipedia.org/wiki/And_the_World_Goes_%27Round
97,André Charlot's Revue of 1924,1924,Revue,Various artists,Various artists,N/A,,
98,Andy Hardy's Private Secretary,1941,Musical film,,,,,https://en.wikipedia.org/wiki/Andy_Hardy%27s_Private_Secretary
99,Angel,1978,Broadway,Gary Geld,Peter Udell,Udell and Ketti Frings,,https://en.wikipedia.org/wiki/Angel_(musical)
100,Angel in the Wings,1947,Revue,Bob Hilliard and Carl Sigman,Hilliard and Sigman,,,https://en.wikipedia.org/wiki/Angel_in_the_Wings
101,Angelika,2007,Czech musical,,,,,https://en.wikipedia.org/wiki/Angelique_(novel_series)
102,"Angélique, Marquise des Anges",1995,French musical,,,,,https://en.wikipedia.org/wiki/Angelique_(novel_series)
103,Angry Housewives,1983,Off-Broadway,Chad Henry and A.M. Collins,Henry and Collins,,,
104,Ani: A Parody,2014,Off-Broadway,Matt and Nick Lang with music and lyrics by Clark Baxtresser & Pierce Siebers,,,,https://en.wikipedia.org/wiki/Ani_(musical)
105,Animal Crackers,1928,Broadway,Bert Kalmar and Harry Ruby,Kalmar and Ruby,George S. Kaufman and Morrie Ryskind,,https://en.wikipedia.org/wiki/Animal_Crackers_(musical)
106,Ankles Aweigh,1955,Broadway,Sammy Fain,Dan Shapiro,Guy Bolton and Eddie Davis,,https://en.wikipedia.org/wiki/Ankles_Aweigh
107,Anne & Gilbert,2005,Canadian musical,"Jeff Hochhauser, Nancy White and Bob Johnston","Hochhauser, White and Johnston","Hochhauser, White and Johnston","Based on Lucy Maud Montgomery's novels, Anne of Avonlea and Anne of the Island.",https://en.wikipedia.org/wiki/Anne_%26_Gilbert
108,Anne of Green Gables,1965,Canadian musical,Norman Campbell,"Don Harron, Campbell, Elaine Campbell and Mavor Moore",Harron,"Based on Lucy Maud Montgomery's novel, Anne of Green Gables.",https://en.wikipedia.org/wiki/Anne_of_Green_Gables:_The_Musical
109,"Annie

+ film (1982)
+ film (1999)
+ film (2014)

",1977,Broadway,Charles Strouse,Martin Charnin,Thomas Meehan,"Notable songs: ""Tomorrow"" and ""A Hard-Knock Life"".",https://en.wikipedia.org/wiki/Annie_(musical)
110,"Annie Get Your Gun

+ film (1950)

",1946,Broadway,Irving Berlin,Berlin,Herbert Fields and Dorothy Fields,"Notable song: ""There's No Business Like Show Business"".",https://en.wikipedia.org/wiki/Annie_Get_Your_Gun_(musical)
111,Annie Warbucks,1993,Off-Broadway,Charles Strouse,Martin Charnin,Thomas Meehan,Sequel to Annie.,https://en.wikipedia.org/wiki/Annie_Warbucks
112,Anya,1965,Broadway,Robert Wright and George Forrest,Wright and Forrest,George Abbott and Guy Bolton,,https://en.wikipedia.org/wiki/Anya_(musical)
113,Anyone Can Whistle,1964,Broadway,Stephen Sondheim,Sondheim,Arthur Laurents,,https://en.wikipedia.org/wiki/Anyone_Can_Whistle
114,Anything Goes,1934,Broadway,Cole Porter,Porter,Guy Bolton and P. G. Wodehouse,"Notable songs: ""Anything Goes"", ""You're the Top"" and ""I Get a Kick out of You"".",https://en.wikipedia.org/wiki/Anything_Goes
115,Applause,1970,Broadway,Charles Strouse,Lee Adams,Betty Comden and Adolph Green,,https://en.wikipedia.org/wiki/Applause_(musical)
116,Apple Blossoms,1919,,,,,,
117,The Apple Tree,1966,Broadway,Jerry Bock,Sheldon Harnick,"Bock, Harnick and Jerome Coopersmith",,https://en.wikipedia.org/wiki/The_Apple_Tree
118,April in Paris,1952,Musical film,Vernon Duke and LeRoy Prinz,Various artists,Jack Rose,,https://en.wikipedia.org/wiki/April_in_Paris_(film)
119,April Love,1957,Musical film,Sammy Fain and Alfred Newman,Various artists,George Agnew,,https://en.wikipedia.org/wiki/April_Love_(film)
120,Arabian Nights,1954,Off-Broadway,Carmen Lombardo and John Jacob Lœb,Lombardo and Lœb,,,
121,The Ark,1998,Off-Broadway,Michael McLean,McLean and Kevin Kelly,McLean and Kelly,,
122,The Arcadians,1909,West End,Lionel Monckton and Howard Talbot,Arthur Wimperis,Mark Ambient and Alexander M. Thompson,,https://en.wikipedia.org/wiki/The_Arcadians_(musical)
123,Are You With It?,1945,Broadway,Harry Revel,Arnold B. Horwitt,Sam Perrin and George Balzer,"Based on the novel, Slightly Perfect by George Malcolm-Smith.",https://en.wikipedia.org/wiki/Are_You_with_It%3F_(musical)
124,Argentine Nights,1940,Musical film,Frank Skinner,Various artists,J. Robert Bren and Gladys Atwater,,
125,Ari,1971,Mark Hellinger Theatre,Walt Smith,Leon Uris,"Based on the novel, Exodus (Uris novel) by Leon Uris.",,
126,The Aristocats,1970,Animated film,George Bruns,Various Artists,"Ken Anderson, Larry Clemmons, Eric Cleworth, Vance Garry, Julius Svendsen, Frank Thomas, and Ralph Wright",Based on characters created by Tom McGowan and Tom Rowe,https://en.wikipedia.org/wiki/The_Aristocats
127,Arms and the Girl,1950,Broadway,Morton Gould,Dorothy Fields,Herbert Fields and Fields,,
128,Around the World,1946,Broadway,Cole Porter,Porter,Orson Welles,,https://en.wikipedia.org/wiki/Around_the_World_(musical)
129,Arthur! Arthur!,1969,Musical film,Harry Robertson,Various artists,Julian Symons,A musical retelling of Dudley Moore's Arthur films.,https://en.wikipedia.org/wiki/Arthur!_Arthur!
130,Artists and Models,1955,Musical film,Harry Warren and Jack Brooks,Various Artists,"Frank Tashlin, Herbert Baker, and Hal Kanter","Notable song: ""Innamorata"".",https://en.wikipedia.org/wiki/Artists_and_Models
131,As Long as They're Happy,1954,Musical film,Stanley Black,Alan Melville,Melville,,https://en.wikipedia.org/wiki/As_Long_as_They%27re_Happy
132,As the Girls Go,1948,Broadway,Jimmy McHugh,Harold Adamson,William Roos,,https://en.wikipedia.org/wiki/As_the_Girls_Go
133,As Thousands Cheer,1933,Broadway,Irving Berlin,Berlin,Moss Hart,,https://en.wikipedia.org/wiki/As_Thousands_Cheer
134,Aspects of Love,1990,West End,Andrew Lloyd Webber,Don Black and Charles Hart,Lloyd Webber,"Notable song: ""Love Changes Everything"".",https://en.wikipedia.org/wiki/Aspects_of_Love
135,Assassins,1990,Off-Broadway,Stephen Sondheim,Sondheim,John Weidman,Premiered on Broadway in 2004.,https://en.wikipedia.org/wiki/Assassins_(musical)
136,At Home Abroad,1935,Broadway revue,Arthur Schwartz,Howard Dietz,N/A,,https://en.wikipedia.org/wiki/At_Home_Abroad
137,At Long Last Love,1975,Musical film,Cole Porter,Porter,Peter Bogdanovich,,https://en.wikipedia.org/wiki/At_Long_Last_Love
138,At the Circus,1939,Musical film,Harold Arlen,Arlen,Irving Brecher,,https://en.wikipedia.org/wiki/At_the_Circus
139,At the Drop of a Hat,1956,Off-West End revue,Donald Swann,Michael Flanders,Swann and Flanders,Produced on Broadway in 1959.,https://en.wikipedia.org/wiki/At_the_Drop_of_a_Hat
140,At the Drop of Another Hat,1963,Off-West End revue,Donald Swann,Michael Flanders,Swann and Flanders,Produced on Broadway in 1966.,https://en.wikipedia.org/wiki/At_the_Drop_of_Another_Hat
141,At War with the Army,1950,Musical film,Joseph J. Lilley,Lilley,James Allardice and Fred Finklehoffe,,https://en.wikipedia.org/wiki/At_War_with_the_Army
142,Athena,1954,Musical Film,Hugh Martin and Ralph Blane,Martin and Blane,William Ludwig and Leonard Spigelgass,,https://en.wikipedia.org/wiki/Athena_(film)
143,The Athenian Touch,1964,Off-Broadway,Willard Straight,David Eddy,J. Albert Fracht and Arthur Goodman,,
144,Aunt Sally,1933,Musical film,Harry M. Woods,Woods,Guy Bolton,,
