545,Paul Francis Webster and Sid Kuller
546,Bennetto
547,Eddie Lawrence
548,Jack Lechner
549,Lauper
550,Maxwell Anderson
551,Björn Ulvaeus
552,Jones
553,Adler
554,Bowie
555,Burke and Lee
556,Alain Boublil and Jean-Max Rivière
557,In-Ja Yang and Georgina St George
558,Sting
559,"Schalchlin, John Bettis, and Marie Cain"
560,Katsaros
561,Benjamin and O'Keefe
562,Peter Sham
563,Lennon
564,Alain Boublil and Herbert Kretzmer
565,Bernie Taupin
566,Livingston and Evans
567,"Wilson, Jr."
568,Lehrer
569,"Curty, Scharfman, and Strand"
570,Ira Gasman
571,Ira Gershwin and E.Y. Harburg
572,Rokicki
573,Guettel
574,Amos
575,Taylor
576,Ellen Greenfield and Hal Hackady
577,Richard Engquist and Woldin
578,Besoyan
579,Glenn Slater and Howard Ashman
580,Howard Ashman
581,Pomeranz
582,Mindi Dickstein
583,Cheslik-DeMeyer and Tim Maner
584,Lionel Bart
585,Alecky Blythe
586,Herrick
587,Matthew Warchus and Shaun McKenna
588,Bourne and David
589,Javitch and James Spicer Conant
590,Martin and Timothy Gray
591,Glenn Slater
592,Goodall and Stephen Clark
593,Stephan Barbarino
594,"Haney, Kimball and Stratton"
595,Richard Thomas
596,Harry Graham
597,Martin
598,"Ulvaeus, Andersson and Stig Anderson"
599,Edgar Allan Woolf
600,Kernaghan and Porter
601,Ben Tarver and Clifton
602,Alain Boublil and Stephen Clark
603,"Sherman, Sherman and Anthony Drewe"
604,Leander and Seago
605,Minchin
606,"Holmes, Valdes and Criss"
607,Douglas Furber and L. Arthur Rose
608,Nell Benjamin
609,Dasent
610,Jürgen Degenhardt
611,Bryan and Joe DiPietro
612,Jeanie Linders
613,Dusty Hughes and Brooks
614,"Sean Altman, Charlie LaGreca, and Jeff LaGreca"
615,"Alain Boublil and Richard Maltby, Jr."
616,Longden and Kaye
617,McGhee
618,Joel
619,Vincent Baguian and Patrice Guirao
620,Clifford Grey and Greatorex Newman
621,Shelton
622,"Bock, Holofcener and Weiss"
623,Goldsmith and Wilder
624,Joel McNeely
625,Williams and Ascher
626,Richard Crane
627,Gordon and Richard Nelson
628,Ingram and Michael Vogel
629,Kyoung-Ae Kang
630,Holmes
631,Andrew Sabiston
632,Ted Drachman
633,Malloy
634,Silverstein
635,Rahman
636,Barlow
637,Jack Feldman
638,Strouse
639,Yeston
640,Ivaschenko and Vasilyev
641,Irving Caesar and Otto Harbach
642,Bowen
643,Gretchen Cryer
644,Luc Plamondon
645,Rodgers
646,Goggin
647,Lola Pergament
648,Bill Conklin and Bob Miller
649,Atkey
650,Redford
651,Barry Harman
652,Grainer
653,Hansard and Irglova
654,Marshall Barer
655,Davis and Wilmott
656,Adams and O'Donnell
657,Ogden Nash
658,Gwon
659,Madness
660,Adler and Ross
661,Carlsson
662,"Porter, E. Ray Goetz, and Roy Turk"
663,English and MacKay
664,Stew
665,Trevor Peacock
666,Gonzalez and Serrat
667,Novello
668,Ross Clark
669,Cocciante
670,Stiles and Drewe
671,Bernstein
672,"Betty Comden, Adolph Green, and Carolyn Leigh"
673,Kasha and Hirschhorn
674,Hill
675,Albert Willemetz and Fabien Solar
676,"Floyd, Ezrin and Kamen"
677,Harline and Smith
678,W.S. Gilbert
679,Arnold Horwitt
680,Ross Parker and Francis Blanche
681,Unknown
682,Gordon and Revel
683,Nilsson and Pierson
684,DuBose Heyward and Ira Gershwin
685,Richard Ney and Sheldon Harnick
686,Bryan Adams and Jim Vallance
687,Berg
688,Brooks
689,María Irene Fornés
690,Hal David
691,Adlin Aman Ramlie
692,Damashek
693,Townshend
694,Robert Brittan
695,Howard Rogers and Murphy
696,Marsha Norman and Bob Merrill
697,Tucker
698,Kevin Murphy
699,Larson
700,Zdunich and Smith
701,Jónsson
702,Jennings
703,Johnny Burke and John Howard Payne
704,Bricusse and Newley
705,Alfred Uhry
706,Ronald Millar
707,"Gellner, Stranka and Kim Duddy"
708,O'Brien
709,Présgurvic
710,Ira Gershwin and P.G. Wodehouse
711,Otto Harbach and Oscar Hammerstein II
712,Aubrey Hopwood and Harry Greenbank
713,Slade and Dorothy Reynolds
714,"Wolcott, Plumb and Smith"
715,Link and Courtney
716,Ngema
717,Bee Gees
718,Charlotte Mann and Michael Fidler
719,Dreyer and Rose
720,Kathie Lee Gifford
721,Nan Knighton
722,Bricusse
723,Stéphane Prémont and Alexandre Martel
724,Marsha Norman
725,Carr
726,Adam Mathias
727,J. Hickory Wood
728,"Johnny Mercer, Kasha and Hirschhorn"
729,"James Hilton, Jerome Lawrence and Robert E. Lee"
730,Jacques
731,Oscar Hammerstein II and P. G. Wodehouse
732,David Lindsay-Abaire
733,Gruska and Dean Pitchford
734,Irving
735,Bruns
736,Angela Morley
737,Holman and May
738,Ray
739,Leiber and Stoller
740,Larry Morey
741,"Lam, Jang Keung, Albert Leung, Choo, Sin Man and Jacky Cheung"
742,Dee Shipman
743,Wayne Kirkpatrick and Karey Kirkpatrick
744,"Don Black and Richard Maltby, Jr."
745,Robert Wright and George Forrest
746,Clarke
747,Parker and Shaiman
748,Idle
749,"Bono, The Edge"
750,Fred Alley
751,Steven Sater
752,Richard Stilgoe
753,Keating
754,McAbee
755,Neil Bartram
756,Elmer Rice
757,Richard O'Brien
758,Dorothy Donnelly
759,Dorothy Fields and Al Dubin
760,Joe Penhall
761,Reid & Reid
762,Craig Carnelia
763,Burke
764,George
765,Fox
766,Dageby
767,Robert Lorick
768,Collins
769,Maribeth Derry
770,Tenacious D
771,Conrad Salinger
772,Chris Kabay
773,Carole Bayer Sager
774,Dick Scanlan
775,"Connick, Jr."
776,"Plumb, Smith and Wolcott"
777,Blane
778,"Oscar Hammerstein II, Otto Harbach and Frank Mandel"
779,Forrest and Wright
780,Wythe
781,Robinson and Roberto Trippini
782,Mercer
783,Joe DiPietro and Bryan
784,Blim
785,"Marshall Pailet, Bryce Norbitz, and Steve Wargo"
786,Nathan Tysen
787,Howe and Lipson
788,Kaley McMahon
789,John Guare and Mel Shapiro
790,Ogden Nash and Sammy Cahn
791,Goodall
792,Legrand
793,Abosch
794,Hollman and Greg Kotis
795,Robert Brown and Blumenkrantz
796,Gesner
797,Jeff Dennhardt
798,Schuyler Green and Herbert Reynolds
799,Jarrow
800,Leslie Bricusse and Wildhorn
801,López Rossi and Grimblat
802,Sara Bareilles
803,Rohn
804,Queen and Ben Elton
805,Muriel Teodori
806,Preston Sturges
807,Fogle
808,Krause
809,Drake and Schulberg
810,Jim Steinman
811,Michael Richmond
812,Roger McGough and William Perry
813,Smalls and Vandross
814,E. Y. Harburg and Tim Rice
815,Doyle and Joe Cascone
816,Lynne and Farrar
817,Willie Reale
818,The Beatles and Martin
819,Marilyn Bergman
820,Bolander and van Santen
821,Gesner and Lippa
822,Hester and Apolinar
823,Acito and Alexander Dinelaris
824,"Lenny Adelson, Sid Kuller and Martin Charnin"
825,Gene Buck
826,Eric Maschwitz
827,Valcq
828,B. C. Stephenson
829,James Ferman
