149,L. Scott Caldwell,http://en.wikipedia.org/wiki/L._Scott_Caldwell
150,Michael Callan,http://en.wikipedia.org/wiki/Michael_Callan
151,Ann Hampton Callaway,http://en.wikipedia.org/wiki/Ann_Hampton_Callaway
152,Liz Callaway,http://en.wikipedia.org/wiki/Liz_Callaway
153,Cab Calloway,http://en.wikipedia.org/wiki/Cab_Calloway
154,"Eduardo Cansino, Sr.",
155,Mario Cantone,http://en.wikipedia.org/wiki/Mario_Cantone
156,David Cantor,http://en.wikipedia.org/wiki/David_Cantor
157,Eddie Cantor,http://en.wikipedia.org/wiki/Eddie_Cantor
158,Virginia Capers,http://en.wikipedia.org/wiki/Virginia_Capers
159,Irene Cara,http://en.wikipedia.org/wiki/Irene_Cara
160,Len Cariou,http://en.wikipedia.org/wiki/Len_Cariou
161,Kitty Carlisle,http://en.wikipedia.org/wiki/Kitty_Carlisle
162,Jeffrey Carlson,http://en.wikipedia.org/wiki/Jeffrey_Carlson
163,Carolee Carmello,http://en.wikipedia.org/wiki/Carolee_Carmello
164,Reeve Carney,http://en.wikipedia.org/wiki/Reeve_Carney
165,Carleton Carpenter,http://en.wikipedia.org/wiki/Carleton_Carpenter
166,Thelma Carpenter,http://en.wikipedia.org/wiki/Thelma_Carpenter
167,Diahann Carroll,http://en.wikipedia.org/wiki/Diahann_Carroll
168,Pat Carroll,http://en.wikipedia.org/wiki/Pat_Carroll_(actress)
169,Aaron Carter,http://en.wikipedia.org/wiki/Aaron_Carter
170,Dixie Carter,http://en.wikipedia.org/wiki/Dixie_Carter
171,Jack Carter,http://en.wikipedia.org/wiki/Jack_Carter_(comedian)
172,Nell Carter,http://en.wikipedia.org/wiki/Nell_Carter
173,Ralph Carter,http://en.wikipedia.org/wiki/Ralph_Carter
174,Emma Carus,http://en.wikipedia.org/wiki/Emma_Carus
175,Max Casella,http://en.wikipedia.org/wiki/Max_Casella
176,Peggy Cass,http://en.wikipedia.org/wiki/Peggy_Cass
177,David Cassidy,http://en.wikipedia.org/wiki/David_Cassidy
178,Jack Cassidy,http://en.wikipedia.org/wiki/Jack_Cassidy
179,Patrick Cassidy,http://en.wikipedia.org/wiki/Patrick_Cassidy_(actor)
180,Shaun Cassidy,http://en.wikipedia.org/wiki/Shaun_Cassidy
181,Roy Castle,http://en.wikipedia.org/wiki/Roy_Castle
182,Vernon and Irene Castle,http://en.wikipedia.org/wiki/Vernon_and_Irene_Castle
183,Mary Jo Catlett,http://en.wikipedia.org/wiki/Mary_Jo_Catlett
184,Matt Cavenaugh,http://en.wikipedia.org/wiki/Matt_Cavenaugh
185,Michael Cerveris,http://en.wikipedia.org/wiki/Michael_Cerveris
186,George Chakiris,http://en.wikipedia.org/wiki/George_Chakiris
187,Richard Chamberlain,http://en.wikipedia.org/wiki/Richard_Chamberlain
188,Kevin Chamberlin,http://en.wikipedia.org/wiki/Kevin_Chamberlin
189,Gower Champion,http://en.wikipedia.org/wiki/Gower_Champion
190,Marge Champion,http://en.wikipedia.org/wiki/Marge_Champion
191,Adam Chanler-Berat,http://en.wikipedia.org/wiki/Adam_Chanler-Berat
192,Carol Channing,http://en.wikipedia.org/wiki/Carol_Channing
193,Stockard Channing,http://en.wikipedia.org/wiki/Stockard_Channing
194,Sydney Chaplin,http://en.wikipedia.org/wiki/Sydney_Chaplin_(American_actor)
195,Cyd Charisse,http://en.wikipedia.org/wiki/Cyd_Charisse
196,Will Chase,http://en.wikipedia.org/wiki/Will_Chase
197,Kristin Chenoweth,http://en.wikipedia.org/wiki/Kristin_Chenoweth
198,Maurice Chevalier,http://en.wikipedia.org/wiki/Maurice_Chevalier
199,Sandra Church,http://en.wikipedia.org/wiki/Sandra_Church
200,Wayne Cilento,http://en.wikipedia.org/wiki/Wayne_Cilento
201,Ina Claire,http://en.wikipedia.org/wiki/Ina_Claire
202,Petula Clark,http://en.wikipedia.org/wiki/Petula_Clark
203,Victoria Clark,http://en.wikipedia.org/wiki/Victoria_Clark
204,Katie Rose Clarke,http://en.wikipedia.org/wiki/Katie_Rose_Clarke
205,Jan Clayton,http://en.wikipedia.org/wiki/Jan_Clayton
206,Lewis Cleale,http://en.wikipedia.org/wiki/Lewis_Cleale
207,Glenn Close,http://en.wikipedia.org/wiki/Glenn_Close
208,Imogene Coca,http://en.wikipedia.org/wiki/Imogene_Coca
209,James Coco,http://en.wikipedia.org/wiki/James_Coco
210,Jennifer Cody,http://en.wikipedia.org/wiki/Jennifer_Cody
211,George M. Cohan,http://en.wikipedia.org/wiki/George_M._Cohan
212,Patti Cohenour,http://en.wikipedia.org/wiki/Patti_Cohenour
213,Charles Coles,http://en.wikipedia.org/wiki/Charles_Coles
214,Toni Collette,http://en.wikipedia.org/wiki/Toni_Collette
215,Dorothy Collins,http://en.wikipedia.org/wiki/Dorothy_Collins
216,Jose Collins,http://en.wikipedia.org/wiki/Jose_Collins
217,Betty Comden,http://en.wikipedia.org/wiki/Betty_Comden
218,Bert Convy,http://en.wikipedia.org/wiki/Bert_Convy
219,Jeff Conaway,http://en.wikipedia.org/wiki/Jeff_Conaway
220,Shirl Conway,http://en.wikipedia.org/wiki/Shirl_Conway
221,Barbara Cook,http://en.wikipedia.org/wiki/Barbara_Cook
222,Carole Cook,http://en.wikipedia.org/wiki/Carole_Cook
223,Chuck Cooper,http://en.wikipedia.org/wiki/Chuck_Cooper_(actor)
224,Marilyn Cooper,http://en.wikipedia.org/wiki/Marilyn_Cooper
225,Robert Coote,http://en.wikipedia.org/wiki/Robert_Coote
226,Leanne Cope,http://en.wikipedia.org/wiki/Leanne_Cope
227,Jesse Corti,http://en.wikipedia.org/wiki/Jesse_Corti
228,Noël Coward,http://en.wikipedia.org/wiki/No%C3%ABl_Coward
229,Deborah Cox,http://en.wikipedia.org/wiki/Deborah_Cox
230,Veanne Cox,http://en.wikipedia.org/wiki/Veanne_Cox
231,Michael Crawford,http://en.wikipedia.org/wiki/Michael_Crawford
232,Luther Creek,http://en.wikipedia.org/wiki/Luther_Creek
233,Gavin Creel,http://en.wikipedia.org/wiki/Gavin_Creel
234,Darren Criss,http://en.wikipedia.org/wiki/Darren_Criss
235,Anthony Crivello,http://en.wikipedia.org/wiki/Anthony_Crivello
236,Ann Crumb,http://en.wikipedia.org/wiki/Ann_Crumb
237,Max Crumm,http://en.wikipedia.org/wiki/Max_Crumm
238,Wilson Cruz,http://en.wikipedia.org/wiki/Wilson_Cruz
239,John Cullum,http://en.wikipedia.org/wiki/John_Cullum
240,Alan Cumming,http://en.wikipedia.org/wiki/Alan_Cumming
241,Robert Cummings,http://en.wikipedia.org/wiki/Robert_Cummings
242,Michael Cumpsty,http://en.wikipedia.org/wiki/Michael_Cumpsty
243,Tim Curry,http://en.wikipedia.org/wiki/Tim_Curry
244,Keene Curtis,http://en.wikipedia.org/wiki/Keene_Curtis
245,Stephanie D'Abruzzo,http://en.wikipedia.org/wiki/Stephanie_D%27Abruzzo
246,Charlotte d'Amboise,http://en.wikipedia.org/wiki/Charlotte_d%27Amboise
247,Jacques d'Amboise,http://en.wikipedia.org/wiki/Jacques_d%27Amboise_(dancer)
248,Fifi D'Orsay,http://en.wikipedia.org/wiki/Fifi_D%27Orsay
249,Janet Dacal,http://en.wikipedia.org/wiki/Janet_Dacal
250,Dan Dailey,http://en.wikipedia.org/wiki/Dan_Dailey
251,Jim Dale,http://en.wikipedia.org/wiki/Jim_Dale
