168,Bandanna Land,1908,Broadway,Shipp and Rogers,,
169,Banjo Eyes,1941,Broadway,Joseph Quinlan and Izzy Ellinson,,https://en.wikipedia.org/wiki/Banjo_Eyes
170,Bar Mitzvah Boy,1978,West End,Jack Rosenthal,,https://en.wikipedia.org/wiki/Bar_Mitzvah_Boy_(musical)
171,Barbarella,2004,Austrian musical,Stewart,Based on the 1968 film.,https://en.wikipedia.org/wiki/Barbarella_(musical)
172,Bare: A Pop Opera,2000,Off-Broadway,"Intrabartolo and Hartmere, Jr.","Notable song: ""Portrait of a Girl"".",https://en.wikipedia.org/wiki/Bare:_A_Pop_Opera
173,Bare Facts of 1926,1926,Broadway revue,Stuart Hamill,,
174,Barefoot Boy with Cheek,1947,Broadway,Max Shulman,,
175,The Barkleys of Broadway,1949,Musical film,"Betty Comden, Adolph Green and Sidney Sheldon",,https://en.wikipedia.org/wiki/The_Barkleys_of_Broadway
176,Barnum,1980,Broadway,Mark Bramble,,https://en.wikipedia.org/wiki/Barnum_(musical)
177,Baron Trenck,1912,Broadway,Henry Blossom,,
178,The Baroness Fiddlesticks,1904,Broadway,De Long,,
179,Bat Boy: The Musical,2001,Off-Broadway,Keythe Farley and Brian Flemming,,https://en.wikipedia.org/wiki/Bat_Boy:_The_Musical
180,Bat Out of Hell The Musical,2017,West End,Steinman,,
181,Bats,1983,Australian musical,Dorricott and Denver,,https://en.wikipedia.org/wiki/Bats_(musical)
182,The Battle of Paris,1929,Musical film,Gene Markey,,https://en.wikipedia.org/wiki/The_Battle_of_Paris
183,Be Yourself,1930,Musical film,Joseph Jackson,,https://en.wikipedia.org/wiki/Be_Yourself_(film)
184,Beat the Band,1942,Musical TV show,N/A,,https://en.wikipedia.org/wiki/Beat_the_Band
185,Beatlemania,1977,Broadway revue,"Bob Gill, Robert Rabinowitz and Lynda Obst",,https://en.wikipedia.org/wiki/Beatlemania_(musical)
186,Beautiful: The Carole King Musical,2014,Broadway,Douglas McGrath,,https://en.wikipedia.org/wiki/Beautiful:_The_Carole_King_Musical
187,Beautiful Dreamer,1961,Off-Broadway,,,
188,The Beautiful Game,2000,West End,Lloyd Webber and Elton,,https://en.wikipedia.org/wiki/The_Beautiful_Game_(musical)
189,"Beauty and the Beast

+ film (1991)
+ film (2017)

",1994,Broadway,Linda Woolverton,"Based on animated Walt Disney film of the same name. Notable songs: ""Be Our Guest"" and ""Beauty and the Beast"".",https://en.wikipedia.org/wiki/Beauty_and_the_Beast_(musical)
190,The Beauty Shop,1914,Off-Broadway,,,
191,The Beauty Spot,1909,Off-Broadway,Herbert,,
192,Beauty World,1988,Singaporean musical,Chiang,,https://en.wikipedia.org/wiki/Beauty_World_(musical)
193,Because You're Mine,1952,Musical film,Ruth Brooks Flippen and Sy Gomberg,,https://en.wikipedia.org/wiki/Because_You%27re_Mine
194,Bedknobs and Broomsticks,1971,Animated film,Bill Walsh and Don DaGradi,"Notable songs: ""The Age of Not Believing"" and ""Substitutiary Locomotion"".",https://en.wikipedia.org/wiki/Bedknobs_and_Broomsticks
195,A Bedtime Story,1933,Musical film,Benjamin Glazer and Nunnally Johnson,,https://en.wikipedia.org/wiki/A_Bedtime_Story
196,The Beggar Student,1882,German operetta,Millöcker,,https://en.wikipedia.org/wiki/Der_Bettelstudent
197,Beggar's Holiday,1946,Broadway,La Touche,,https://en.wikipedia.org/wiki/Beggar%27s_Holiday
198,The Beggar's Opera,1728,West End opera,Gay,,https://en.wikipedia.org/wiki/The_Beggar%27s_Opera
199,Behind the Iron Mask,2005,West End,Colin Scott and Melinda Walker,The show draws inspiration from the Man in the Iron Mask.,https://en.wikipedia.org/wiki/Behind_the_Iron_Mask
200,Bel-Ami,2014,Off-West End,Loveless,A contemporary musical adaptation of the book of the same name.,https://en.wikipedia.org/wiki/Bel_Ami
201,Bell Bottom George,1943,Musical film,Edward Dryhurst and Peter Fraser,,
202,Bella: An American Tall Tale,2016,Off-Broadway,Kristen Childs,,
